"dispnum3","incidnum3","stday","stmon","styear","endday","endmon","endyear","duration","tbi","fatality","fatalpre","action","hostlev","numa","revtype1","revtype2","version"
4553,4553010,20,6,2002,20,6,2002,1,129,0,0,17,4,1,2,0,"gml-2.1"
4553,4553011,27,10,2002,27,10,2002,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4554,4554001,7,3,2002,7,3,2002,1,-9,0,0,17,4,1,0,0,"gml-2.1"
4555,4555002,24,7,2002,24,7,2002,1,62,0,0,16,4,1,0,0,"gml-2.1"
4555,4555003,24,9,2002,27,9,2002,4,57,0,0,15,4,1,2,0,"gml-2.1"
4555,4555004,23,11,2002,23,11,2002,1,58,0,0,16,4,1,0,0,"gml-2.1"
4555,4555005,20,1,2003,20,1,2003,1,7,0,0,17,4,1,2,0,"gml-2.1"
4555,4555006,27,1,2003,27,1,2003,1,27,0,0,17,4,1,2,0,"gml-2.1"
4555,4555007,23,2,2003,23,2,2003,1,66,0,0,8,3,1,0,0,"gml-2.1"
4555,4555008,30,4,2003,30,4,2003,1,149,0,0,17,4,1,2,0,"gml-2.1"
4555,4555009,26,9,2003,26,9,2003,1,49,0,0,16,4,1,0,0,"gml-2.1"
4555,4555010,14,11,2003,14,11,2003,1,91,0,0,16,4,1,0,0,"gml-2.1"
4555,4555011,13,2,2004,13,2,2004,1,118,0,0,8,3,1,0,0,"gml-2.1"
4555,4555012,10,6,2004,10,6,2004,1,134,1,-9,17,4,1,0,0,"gml-2.1"
4555,4555013,22,10,2004,9,11,2004,19,-9,1,-9,17,4,1,2,0,"gml-2.1"
4555,4555014,-9,11,2004,-9,11,2004,-9,-9,0,0,11,3,1,0,0,"gml-2.1"
4555,4555015,-9,11,2004,-9,11,2004,-9,-9,0,0,8,3,1,0,0,"gml-2.1"
4555,4555016,25,2,2005,25,2,2005,1,6,0,0,17,4,1,0,0,"gml-2.1"
4555,4555017,3,3,2005,3,3,2005,1,6,0,0,11,3,1,0,0,"gml-2.1"
4555,4555018,9,3,2005,9,3,2005,1,38,0,0,17,4,1,0,0,"gml-2.1"
4555,4555019,16,4,2005,22,4,2005,7,49,0,0,17,4,1,0,0,"gml-2.1"
4555,4555020,10,6,2005,10,6,2005,1,16,0,0,16,4,1,0,0,"gml-2.1"
4555,4555021,26,6,2005,26,6,2005,1,33,0,0,7,3,1,0,0,"gml-2.1"
4555,4555022,29,7,2005,29,7,2005,1,21,0,0,7,3,1,0,0,"gml-2.1"
4555,4555023,19,8,2005,19,8,2005,1,11,0,0,17,4,1,2,0,"gml-2.1"
4555,4555024,30,8,2005,30,8,2005,1,0,0,0,16,4,1,0,0,"gml-2.1"
4555,4555025,30,8,2005,30,8,2005,1,45,0,0,8,3,1,0,0,"gml-2.1"
4555,4555026,14,10,2005,14,10,2005,1,18,0,0,16,4,1,0,0,"gml-2.1"
4555,4555027,1,11,2005,3,11,2005,3,28,0,0,16,4,1,0,0,"gml-2.1"
4555,4555028,1,12,2005,1,12,2005,1,16,0,0,8,3,1,0,0,"gml-2.1"
4555,4555029,17,12,2005,17,12,2005,1,10,0,0,11,3,1,0,0,"gml-2.1"
4555,4555030,27,12,2005,27,12,2005,1,19,0,0,8,3,1,0,0,"gml-2.1"
4555,4555031,15,1,2006,15,1,2006,1,220,0,0,16,4,1,0,0,"gml-2.1"
4555,4555032,23,8,2006,23,8,2006,1,-69,0,0,17,4,1,2,0,"gml-2.1"
4555,4555033,15,6,2006,15,6,2006,1,13,1125,1,16,4,1,0,0,"gml-2.1"
4555,4555034,28,6,2006,28,6,2006,1,63,0,0,17,4,1,0,0,"gml-2.1"
4555,4555035,30,8,2006,30,8,2006,1,138,0,0,17,4,1,2,0,"gml-2.1"
4555,4555038,15,1,2007,15,1,2007,1,13,1,-9,17,4,1,0,0,"gml-2.1"
4555,4555039,28,1,2007,28,1,2007,1,-9,0,0,17,4,1,0,0,"gml-2.1"
4556,4556001,-9,1,2003,-9,1,2003,-9,-9,0,0,7,3,1,1,2,"gml-2.1"
4557,4557001,4,10,2003,4,10,2003,1,-9,1,2,16,4,1,0,0,"gml-2.1"
4558,4558001,25,11,2003,25,11,2003,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4559,4559001,4,1,2004,4,1,2004,1,133,0,0,11,3,1,0,0,"gml-2.1"
4559,4559003,16,5,2004,16,5,2004,1,167,0,0,11,3,1,0,0,"gml-2.1"
4559,4559004,30,10,2004,30,10,2004,1,-9,0,0,8,3,1,0,0,"gml-2.1"
4560,4560001,10,3,2004,10,3,2004,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4561,4561001,18,5,2004,18,5,2004,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4562,4562001,17,7,2004,17,7,2004,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4563,4563001,24,9,2004,24,9,2004,1,0,0,0,12,3,1,0,0,"gml-2.1"
4563,4563002,24,9,2004,27,9,2004,4,157,0,0,15,4,1,2,0,"gml-2.1"
4563,4563003,3,3,2005,3,3,2005,1,-9,0,0,8,3,1,0,0,"gml-2.1"
4564,4564001,26,10,2004,26,10,2004,1,76,0,0,11,3,1,0,0,"gml-2.1"
4564,4564002,10,1,2005,10,1,2005,1,0,0,0,16,4,1,0,0,"gml-2.1"
4564,4564003,10,1,2005,10,1,2005,1,-9,0,0,8,3,1,0,0,"gml-2.1"
4564,4564004,-9,1,2005,-9,1,2005,-9,-9,0,0,16,4,1,0,0,"gml-2.1"
4564,4564005,16,4,2005,16,4,2005,1,22,1,1,17,4,1,0,0,"gml-2.1"
4564,4564006,8,5,2005,8,5,2005,1,-9,0,0,1,2,1,2,0,"gml-2.1"
4565,4565001,13,12,2004,13,12,2004,1,-9,0,0,8,3,1,0,0,"gml-2.1"
4566,4566001,18,1,2005,20,1,2005,3,178,0,0,8,3,1,2,0,"gml-2.1"
4566,4566002,17,7,2005,17,7,2005,1,-1,0,0,16,4,1,2,0,"gml-2.1"
4566,4566003,16,7,2005,18,7,2005,3,91,0,0,15,4,1,2,0,"gml-2.1"
4566,4566004,17,10,2005,17,10,2005,1,-9,0,0,16,4,1,1,0,"gml-2.1"
4567,4567001,2,3,2005,2,3,2005,1,0,0,0,7,3,1,2,0,"gml-2.1"
4567,4567002,2,3,2005,2,3,2005,1,5,0,0,7,3,1,2,0,"gml-2.1"
4567,4567003,7,3,2005,7,3,2005,1,53,0,0,7,3,1,2,0,"gml-2.1"
